epoch,step,train_loss
49,49,0.010378333739936352
99,99,0.0010378750739619136
149,149,0.00029996864032000303
199,199,0.0001228324108524248
249,249,0.0006125615327619016
299,299,6.692856550216675e-05
349,349,5.354283712222241e-05
399,399,4.63282922282815e-05
